"ItemNumber","BrandName","PriceMethod","PricingKey","PrintMethod","AllowPMSColor","StockColorCode","PMSColorID","ColorSwatch","stock_pms_swatch","stock_pms"
"BG145","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Yellow","Pantone Yellow","yellow.gif","<img src =""yellow.gif "" alt =""Yellow (Pantone Yellow )"" />","Yellow (Pantone Yellow)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Athletic Gold","PMS1235","athleticgold.gif","<img src =""athleticgold.gif "" alt =""Athletic Gold (PMS1235 )"" />","Athletic Gold (PMS1235)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Black","Pantone Black","black.gif","<img src =""black.gif "" alt =""Black (Pantone Black )"" />","Black (Pantone Black)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Brown","PMS469","brown.gif","<img src =""brown.gif "" alt =""Brown (PMS469 )"" />","Brown (PMS469)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Burgundy","PMS202","burgundy.gif","<img src =""burgundy.gif "" alt =""Burgundy (PMS202 )"" />","Burgundy (PMS202)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Blue/Navy","PMS281","navy.gif","<img src =""navy.gif "" alt =""Dark Blue/Navy (PMS281 )"" />","Dark Blue/Navy (PMS281)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Green","PMS349","darkgreen.gif","<img src =""darkgreen.gif "" alt =""Dark Green (PMS349 )"" />","Dark Green (PMS349)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Orange","PMS167","darkorange.gif","<img src =""darkorange.gif "" alt =""Dark Orange (PMS167 )"" />","Dark Orange (PMS167)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gold Metallic","PMS871","goldmetallic.gif","<img src =""goldmetallic.gif "" alt =""Gold Metallic (PMS871 )"" />","Gold Metallic (PMS871)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gray","PMS430","gray.gif","<img src =""gray.gif "" alt =""Gray (PMS430 )"" />","Gray (PMS430)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Green","PMS347","green.gif","<img src =""green.gif "" alt =""Green (PMS347 )"" />","Green (PMS347)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Khaki","PMS466","khaki.gif","<img src =""khaki.gif "" alt =""Khaki (PMS466 )"" />","Khaki (PMS466)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Blue","Process Blue","lightblue.gif","<img src =""lightblue.gif "" alt =""Light Blue (Process Blue )"" />","Light Blue (Process Blue)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Gray","PMS420","lightgray.gif","<img src =""lightgray.gif "" alt =""Light Gray (PMS420 )"" />","Light Gray (PMS420)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Medium Blue","Reflex Blue","mediumblue.gif","<img src =""mediumblue.gif "" alt =""Medium Blue (Reflex Blue )"" />","Medium Blue (Reflex Blue)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Orange","PMS165","orange.gif","<img src =""orange.gif "" alt =""Orange (PMS165 )"" />","Orange (PMS165)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Pink","PMS230","pink.gif","<img src =""pink.gif "" alt =""Pink (PMS230 )"" />","Pink (PMS230)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Purple","PMS266","purple.gif","<img src =""purple.gif "" alt =""Purple (PMS266 )"" />","Purple (PMS266)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Red","PMS186","red.gif","<img src =""red.gif "" alt =""Red (PMS186 )"" />","Red (PMS186)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Royal Blue","PMS286","royalblue.gif","<img src =""royalblue.gif "" alt =""Royal Blue (PMS286 )"" />","Royal Blue (PMS286)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Silver Metallic","PMS877","silvermetallic.gif","<img src =""silvermetallic.gif "" alt =""Silver Metallic (PMS877 )"" />","Silver Metallic (PMS877)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Tan","PMS728","tan.gif","<img src =""tan.gif "" alt =""Tan (PMS728 )"" />","Tan (PMS728)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Teal","PMS320","teal.gif","<img src =""teal.gif "" alt =""Teal (PMS320 )"" />","Teal (PMS320)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","White","White","white.gif","<img src =""white.gif "" alt =""White (White )"" />","White (White)"
"BG145CM","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Yellow","Pantone Yellow","yellow.gif","<img src =""yellow.gif "" alt =""Yellow (Pantone Yellow )"" />","Yellow (Pantone Yellow)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Athletic Gold","PMS1235","athleticgold.gif","<img src =""athleticgold.gif "" alt =""Athletic Gold (PMS1235 )"" />","Athletic Gold (PMS1235)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Black","Pantone Black","black.gif","<img src =""black.gif "" alt =""Black (Pantone Black )"" />","Black (Pantone Black)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Brown","PMS469","brown.gif","<img src =""brown.gif "" alt =""Brown (PMS469 )"" />","Brown (PMS469)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Burgundy","PMS202","burgundy.gif","<img src =""burgundy.gif "" alt =""Burgundy (PMS202 )"" />","Burgundy (PMS202)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Blue/Navy","PMS281","navy.gif","<img src =""navy.gif "" alt =""Dark Blue/Navy (PMS281 )"" />","Dark Blue/Navy (PMS281)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Green","PMS349","darkgreen.gif","<img src =""darkgreen.gif "" alt =""Dark Green (PMS349 )"" />","Dark Green (PMS349)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Orange","PMS167","darkorange.gif","<img src =""darkorange.gif "" alt =""Dark Orange (PMS167 )"" />","Dark Orange (PMS167)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gold Metallic","PMS871","goldmetallic.gif","<img src =""goldmetallic.gif "" alt =""Gold Metallic (PMS871 )"" />","Gold Metallic (PMS871)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gray","PMS430","gray.gif","<img src =""gray.gif "" alt =""Gray (PMS430 )"" />","Gray (PMS430)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Green","PMS347","green.gif","<img src =""green.gif "" alt =""Green (PMS347 )"" />","Green (PMS347)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Khaki","PMS466","khaki.gif","<img src =""khaki.gif "" alt =""Khaki (PMS466 )"" />","Khaki (PMS466)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Blue","Process Blue","lightblue.gif","<img src =""lightblue.gif "" alt =""Light Blue (Process Blue )"" />","Light Blue (Process Blue)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Gray","PMS420","lightgray.gif","<img src =""lightgray.gif "" alt =""Light Gray (PMS420 )"" />","Light Gray (PMS420)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Medium Blue","Reflex Blue","mediumblue.gif","<img src =""mediumblue.gif "" alt =""Medium Blue (Reflex Blue )"" />","Medium Blue (Reflex Blue)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Orange","PMS165","orange.gif","<img src =""orange.gif "" alt =""Orange (PMS165 )"" />","Orange (PMS165)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Pink","PMS230","pink.gif","<img src =""pink.gif "" alt =""Pink (PMS230 )"" />","Pink (PMS230)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Purple","PMS266","purple.gif","<img src =""purple.gif "" alt =""Purple (PMS266 )"" />","Purple (PMS266)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Red","PMS186","red.gif","<img src =""red.gif "" alt =""Red (PMS186 )"" />","Red (PMS186)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Royal Blue","PMS286","royalblue.gif","<img src =""royalblue.gif "" alt =""Royal Blue (PMS286 )"" />","Royal Blue (PMS286)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Silver Metallic","PMS877","silvermetallic.gif","<img src =""silvermetallic.gif "" alt =""Silver Metallic (PMS877 )"" />","Silver Metallic (PMS877)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Tan","PMS728","tan.gif","<img src =""tan.gif "" alt =""Tan (PMS728 )"" />","Tan (PMS728)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Teal","PMS320","teal.gif","<img src =""teal.gif "" alt =""Teal (PMS320 )"" />","Teal (PMS320)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","White","White","white.gif","<img src =""white.gif "" alt =""White (White )"" />","White (White)"
"BG147","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Yellow","Pantone Yellow","yellow.gif","<img src =""yellow.gif "" alt =""Yellow (Pantone Yellow )"" />","Yellow (Pantone Yellow)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Athletic Gold","PMS1235","athleticgold.gif","<img src =""athleticgold.gif "" alt =""Athletic Gold (PMS1235 )"" />","Athletic Gold (PMS1235)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Black","Pantone Black","black.gif","<img src =""black.gif "" alt =""Black (Pantone Black )"" />","Black (Pantone Black)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Brown","PMS469","brown.gif","<img src =""brown.gif "" alt =""Brown (PMS469 )"" />","Brown (PMS469)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Burgundy","PMS202","burgundy.gif","<img src =""burgundy.gif "" alt =""Burgundy (PMS202 )"" />","Burgundy (PMS202)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Blue/Navy","PMS281","navy.gif","<img src =""navy.gif "" alt =""Dark Blue/Navy (PMS281 )"" />","Dark Blue/Navy (PMS281)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Green","PMS349","darkgreen.gif","<img src =""darkgreen.gif "" alt =""Dark Green (PMS349 )"" />","Dark Green (PMS349)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Orange","PMS167","darkorange.gif","<img src =""darkorange.gif "" alt =""Dark Orange (PMS167 )"" />","Dark Orange (PMS167)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gold Metallic","PMS871","goldmetallic.gif","<img src =""goldmetallic.gif "" alt =""Gold Metallic (PMS871 )"" />","Gold Metallic (PMS871)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gray","PMS430","gray.gif","<img src =""gray.gif "" alt =""Gray (PMS430 )"" />","Gray (PMS430)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Green","PMS347","green.gif","<img src =""green.gif "" alt =""Green (PMS347 )"" />","Green (PMS347)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Khaki","PMS466","khaki.gif","<img src =""khaki.gif "" alt =""Khaki (PMS466 )"" />","Khaki (PMS466)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Blue","Process Blue","lightblue.gif","<img src =""lightblue.gif "" alt =""Light Blue (Process Blue )"" />","Light Blue (Process Blue)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Gray","PMS420","lightgray.gif","<img src =""lightgray.gif "" alt =""Light Gray (PMS420 )"" />","Light Gray (PMS420)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Medium Blue","Reflex Blue","mediumblue.gif","<img src =""mediumblue.gif "" alt =""Medium Blue (Reflex Blue )"" />","Medium Blue (Reflex Blue)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Orange","PMS165","orange.gif","<img src =""orange.gif "" alt =""Orange (PMS165 )"" />","Orange (PMS165)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Pink","PMS230","pink.gif","<img src =""pink.gif "" alt =""Pink (PMS230 )"" />","Pink (PMS230)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Purple","PMS266","purple.gif","<img src =""purple.gif "" alt =""Purple (PMS266 )"" />","Purple (PMS266)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Red","PMS186","red.gif","<img src =""red.gif "" alt =""Red (PMS186 )"" />","Red (PMS186)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Royal Blue","PMS286","royalblue.gif","<img src =""royalblue.gif "" alt =""Royal Blue (PMS286 )"" />","Royal Blue (PMS286)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Silver Metallic","PMS877","silvermetallic.gif","<img src =""silvermetallic.gif "" alt =""Silver Metallic (PMS877 )"" />","Silver Metallic (PMS877)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Tan","PMS728","tan.gif","<img src =""tan.gif "" alt =""Tan (PMS728 )"" />","Tan (PMS728)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Teal","PMS320","teal.gif","<img src =""teal.gif "" alt =""Teal (PMS320 )"" />","Teal (PMS320)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","White","White","white.gif","<img src =""white.gif "" alt =""White (White )"" />","White (White)"
"BG149","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Yellow","Pantone Yellow","yellow.gif","<img src =""yellow.gif "" alt =""Yellow (Pantone Yellow )"" />","Yellow (Pantone Yellow)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Athletic Gold","PMS1235","athleticgold.gif","<img src =""athleticgold.gif "" alt =""Athletic Gold (PMS1235 )"" />","Athletic Gold (PMS1235)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Black","Pantone Black","black.gif","<img src =""black.gif "" alt =""Black (Pantone Black )"" />","Black (Pantone Black)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Brown","PMS469","brown.gif","<img src =""brown.gif "" alt =""Brown (PMS469 )"" />","Brown (PMS469)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Burgundy","PMS202","burgundy.gif","<img src =""burgundy.gif "" alt =""Burgundy (PMS202 )"" />","Burgundy (PMS202)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Blue/Navy","PMS281","navy.gif","<img src =""navy.gif "" alt =""Dark Blue/Navy (PMS281 )"" />","Dark Blue/Navy (PMS281)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Green","PMS349","darkgreen.gif","<img src =""darkgreen.gif "" alt =""Dark Green (PMS349 )"" />","Dark Green (PMS349)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Dark Orange","PMS167","darkorange.gif","<img src =""darkorange.gif "" alt =""Dark Orange (PMS167 )"" />","Dark Orange (PMS167)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gold Metallic","PMS871","goldmetallic.gif","<img src =""goldmetallic.gif "" alt =""Gold Metallic (PMS871 )"" />","Gold Metallic (PMS871)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Gray","PMS430","gray.gif","<img src =""gray.gif "" alt =""Gray (PMS430 )"" />","Gray (PMS430)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Green","PMS347","green.gif","<img src =""green.gif "" alt =""Green (PMS347 )"" />","Green (PMS347)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Khaki","PMS466","khaki.gif","<img src =""khaki.gif "" alt =""Khaki (PMS466 )"" />","Khaki (PMS466)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Blue","Process Blue","lightblue.gif","<img src =""lightblue.gif "" alt =""Light Blue (Process Blue )"" />","Light Blue (Process Blue)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Light Gray","PMS420","lightgray.gif","<img src =""lightgray.gif "" alt =""Light Gray (PMS420 )"" />","Light Gray (PMS420)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Medium Blue","Reflex Blue","mediumblue.gif","<img src =""mediumblue.gif "" alt =""Medium Blue (Reflex Blue )"" />","Medium Blue (Reflex Blue)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Orange","PMS165","orange.gif","<img src =""orange.gif "" alt =""Orange (PMS165 )"" />","Orange (PMS165)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Pink","PMS230","pink.gif","<img src =""pink.gif "" alt =""Pink (PMS230 )"" />","Pink (PMS230)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Purple","PMS266","purple.gif","<img src =""purple.gif "" alt =""Purple (PMS266 )"" />","Purple (PMS266)"
"BG157","The Bag Factory","1 Color 1 Location","TP","See Price Method","N","Red","PMS186","red.gif","<img src =""red.gif "" alt =""Red (PMS186 )"" />","Red (PMS186)"
